"lon" "lat"
-97.1060202 32.940444
-51.92528 -14.235004
-8.224454 39.399872
-3.7038322 40.4167515
-51.92528 -14.235004
103.819836 1.352083
-74.0059413 40.7127837
-95.712891 37.09024
35.243322 38.963745
-66.4619164 46.5653163
-79.532157 43.8169837
-74.0059413 40.7127837
-66.590149 18.220833
-102.552784 23.634501
-71.0994888 42.3627257
-79.9223592 -2.1709979
-83.0457538 42.331427
-43.1728965 -22.9068467
-87.9064736 43.0389025
-115.1398296 36.1699412
-76.2710833 -12.2720956
-79.3831843 43.653226
-1.163134 52.9714232
-3.74922 40.463667
-1.5490774 53.8007554
-0.1277583 51.5073509
-99.133208 19.4326077
-99.133208 19.4326077
-94.5785667 39.0997265
-118.2436849 34.0522342
-1.584852 54.77525
-48.6990679 -22.82203
-55.491477 -8.783195
-95.3698028 29.7604267
-97.5164276 35.4675602
138.252924 36.204824
-104.8730088 39.8675693
-99.133208 19.4326077
-113.4909267 53.544389
-9.0790724 38.6608149
11.1531349 44.0474839
-81.5157535 27.6648274
-106.346771 56.130366
-118.2436849 34.0522342
-51.92528 -14.235004
-44.3006056 -2.5299863
-80.1917902 25.7616798
-40.3088626 -19.1834229
-76.2710833 -12.2720956
-95.712891 37.09024
-85.3232139 51.253775
-74.0059413 40.7127837
12.56738 41.87194
-95.712891 37.09024
139.6917064 35.6894875
-99.133208 19.4326077
16.3738189 48.2081743
-81.5157535 27.6648274
-1.9865554 52.9883875
-2.7021047 53.6823877
85.5222772 25.3666172
-3.7837117 52.1306607
39.2375507 21.2854067
19.0583845 49.8223768
-122.6764816 45.5230622
-98.2061996 19.0412967
27.2440957 38.4626548
-78.8783689 42.8864468
-80.1917902 25.7616798
-80.2456045 25.9420377
-77.3860976 38.9695545
-92.6189273 17.8409173
-116.419389 34.9592083
-3.435973 55.378051
-106.6055534 35.0853336
-73.1260999 7.11732
-94.5785667 39.0997265
1.185445 52.397754
-0.1751333 51.6266218
-51.92528 -14.235004
-96.1342241 19.173773
-118.2436849 34.0522342
-46.7919978 -23.5328871
-118.1170117 33.8816818
-118.2436849 34.0522342
-75.977985 36.8529263
-46.5336521 -23.4543148
-73.7310899 40.7603325
-118.1937395 33.7700504
-43.369805 -22.790968
-104.990251 39.7392358
-3.452151 56.071741
-95.3698028 29.7604267
28.9783589 41.0082376
13.404954 52.5200066
135.1955112 34.690083
-75.977985 36.8529263
8.4694103 49.4901457
-60.0217314 -3.1190275
-78.1677363 43.9593373
-116.2146068 43.6187102
21.0122287 52.2296756
-90.5092882 38.5969977
-104.8213634 38.8338816
-48.5480499 -27.5953778
1.659626 28.033886
-83.3292763 42.2979978
-118.032844 33.9791793
9.9936818 53.5510846
-116.419389 34.9592083
2.213749 46.227638
-106.346771 56.130366
-43.6165321 -22.9026093
2.3522219 48.856614
18.110123 42.641791
-87.9064736 43.0389025
-80.7209149 40.0639616
-50.1584514 -25.0993621
-79.8711024 43.2557206
-82.4571776 27.950575
-102.4342115 47.736992
-123.1207375 49.2827291
